algorithm,variant,environment,checkpoint_file,filename,timesteps,n_eval_episodes,mean_reward,std_reward
A2C,a2c-v1,ALE/Pong-v5,a2c_pong_10000.zip,a2c-v1/a2c_pong_10000.zip,10000,10,-21.0,0.0
A2C,a2c-v1,ALE/Pong-v5,a2c_pong_20000.zip,a2c-v1/a2c_pong_20000.zip,20000,10,-21.0,0.0
A2C,a2c-v1,ALE/Pong-v5,a2c_pong_30000.zip,a2c-v1/a2c_pong_30000.zip,30000,10,-21.0,0.0
A2C,a2c-v1,ALE/Pong-v5,a2c_pong_40000.zip,a2c-v1/a2c_pong_40000.zip,40000,10,-21.0,0.0
A2C,a2c-v1,ALE/Pong-v5,a2c_pong_50000.zip,a2c-v1/a2c_pong_50000.zip,50000,10,-21.0,0.0
A2C,a2c-v1,ALE/Pong-v5,a2c_pong_150000.zip,a2c-v1/a2c_pong_150000.zip,150000,10,-21.0,0.0
A2C,a2c-v1,ALE/Pong-v5,a2c_pong_250000.zip,a2c-v1/a2c_pong_250000.zip,250000,10,-21.0,0.0
A2C,a2c-v1,ALE/Pong-v5,a2c_pong_350000.zip,a2c-v1/a2c_pong_350000.zip,350000,10,-21.0,0.0
A2C,a2c-v1,ALE/Pong-v5,a2c_pong_500000.zip,a2c-v1/a2c_pong_500000.zip,500000,10,-21.0,0.0
A2C,a2c-v1,ALE/Pong-v5,a2c_pong_1000000.zip,a2c-v1/a2c_pong_1000000.zip,1000000,10,-21.0,0.0
A2C,a2c-v1,ALE/Pong-v5,a2c_pong_2000000.zip,a2c-v1/a2c_pong_2000000.zip,2000000,10,-21.0,0.0
A2C,a2c-v2,ALE/Pong-v5,a2c_pong_10000.zip,a2c-v2/a2c_pong_10000.zip,10000,10,-21.0,0.0
A2C,a2c-v2,ALE/Pong-v5,a2c_pong_20000.zip,a2c-v2/a2c_pong_20000.zip,20000,10,-21.0,0.0
A2C,a2c-v2,ALE/Pong-v5,a2c_pong_30000.zip,a2c-v2/a2c_pong_30000.zip,30000,10,-21.0,0.0
A2C,a2c-v2,ALE/Pong-v5,a2c_pong_40000.zip,a2c-v2/a2c_pong_40000.zip,40000,10,-21.0,0.0
A2C,a2c-v2,ALE/Pong-v5,a2c_pong_50000.zip,a2c-v2/a2c_pong_50000.zip,50000,10,-21.0,0.0
A2C,a2c-v2,ALE/Pong-v5,a2c_pong_150000.zip,a2c-v2/a2c_pong_150000.zip,150000,10,-21.0,0.0
A2C,a2c-v2,ALE/Pong-v5,a2c_pong_250000.zip,a2c-v2/a2c_pong_250000.zip,250000,10,-21.0,0.0
A2C,a2c-v2,ALE/Pong-v5,a2c_pong_350000.zip,a2c-v2/a2c_pong_350000.zip,350000,10,-20.9,0.3
A2C,a2c-v2,ALE/Pong-v5,a2c_pong_500000.zip,a2c-v2/a2c_pong_500000.zip,500000,10,-21.0,0.0
A2C,a2c-v2,ALE/Pong-v5,a2c_pong_1000000.zip,a2c-v2/a2c_pong_1000000.zip,1000000,10,-21.0,0.0
A2C,a2c-v2,ALE/Pong-v5,a2c_pong_1500000.zip,a2c-v2/a2c_pong_1500000.zip,1500000,10,-20.6,0.4898979485566356
A2C,a2c-v2,ALE/Pong-v5,a2c_pong_2000000.zip,a2c-v2/a2c_pong_2000000.zip,2000000,10,-19.5,1.3601470508735443
A2C,a2c-v2,ALE/Pong-v5,a2c_pong_3000000.zip,a2c-v2/a2c_pong_3000000.zip,3000000,10,-19.2,1.5362291495737217
A2C,a2c-v2,ALE/Pong-v5,a2c_pong_4000000.zip,a2c-v2/a2c_pong_4000000.zip,4000000,10,-19.7,1.2688577540449522
A2C,a2c-v2,ALE/Pong-v5,a2c_pong_5000000.zip,a2c-v2/a2c_pong_5000000.zip,5000000,10,-17.1,0.8306623862918074
DQN,dqn-v1,ALE/Pong-v5,dqn_pong_10000.zip,dqn-v1/dqn_pong_10000.zip,10000,10,-21.0,0.0
DQN,dqn-v1,ALE/Pong-v5,dqn_pong_20000.zip,dqn-v1/dqn_pong_20000.zip,20000,10,-21.0,0.0
DQN,dqn-v1,ALE/Pong-v5,dqn_pong_30000.zip,dqn-v1/dqn_pong_30000.zip,30000,10,-21.0,0.0
DQN,dqn-v1,ALE/Pong-v5,dqn_pong_40000.zip,dqn-v1/dqn_pong_40000.zip,40000,10,-19.6,1.2806248474865698
DQN,dqn-v1,ALE/Pong-v5,dqn_pong_50000.zip,dqn-v1/dqn_pong_50000.zip,50000,10,-19.6,1.0198039027185568
DQN,dqn-v1,ALE/Pong-v5,dqn_pong_150000.zip,dqn-v1/dqn_pong_150000.zip,150000,10,-19.5,1.118033988749895
DQN,dqn-v1,ALE/Pong-v5,dqn_pong_250000.zip,dqn-v1/dqn_pong_250000.zip,250000,10,-16.9,1.7
DQN,dqn-v1,ALE/Pong-v5,dqn_pong_350000.zip,dqn-v1/dqn_pong_350000.zip,350000,10,-14.5,1.6278820596099706
DQN,dqn-v1,ALE/Pong-v5,dqn_pong_500000.zip,dqn-v1/dqn_pong_500000.zip,500000,10,-15.4,2.2891046284519194
DQN,dqn-v1,ALE/Pong-v5,dqn_pong_1500000.zip,dqn-v1/dqn_pong_1500000.zip,1500000,10,-4.7,7.642643521714198
DQN,dqn-v1,ALE/Pong-v5,dqn_pong_2000000.zip,dqn-v1/dqn_pong_2000000.zip,2000000,10,-2.4,4.608687448721165
DQN,dqn-v1,ALE/Pong-v5,dqn_pong_3000000.zip,dqn-v1/dqn_pong_3000000.zip,3000000,10,2.7,4.733920151417849
DQN,dqn-v1,ALE/Pong-v5,dqn_pong_4000000.zip,dqn-v1/dqn_pong_4000000.zip,4000000,10,1.6,6.452906321960671
DQN,dqn-v1,ALE/Pong-v5,dqn_pong_5000000.zip,dqn-v1/dqn_pong_5000000.zip,5000000,10,5.8,6.19354502688081
